policy,peak_drift_m,arrival_error_m,rmse_m,avl_invocations,corrections,marker_success_rate,scenario,scenario_label,seed,has_markers
none,1.5223600895596554,1.5150811274222709,0.9532257480770522,0,0,0.0,A,"A: open, no markers",0,False
none,1.1121750269086874,1.0912173679710688,0.7386363911164955,0,0,0.0,A,"A: open, no markers",1,False
none,1.3894689013215222,1.3894689013215222,0.8311869355584918,0,0,0.0,A,"A: open, no markers",2,False
none,1.6832670193652897,1.6832670193652897,1.012752256490996,0,0,0.0,A,"A: open, no markers",3,False
none,1.4673421351235998,1.4615754511840138,0.8607855256687433,0,0,0.0,A,"A: open, no markers",4,False
fixed,1.5223600895596554,1.5150811274222709,0.9532257480770522,0,0,0.0,A,"A: open, no markers",0,False
fixed,1.1121750269086874,1.0912173679710688,0.7386363911164955,0,0,0.0,A,"A: open, no markers",1,False
fixed,1.3894689013215222,1.3894689013215222,0.8311869355584918,0,0,0.0,A,"A: open, no markers",2,False
fixed,1.6832670193652897,1.6832670193652897,1.012752256490996,0,0,0.0,A,"A: open, no markers",3,False
fixed,1.4673421351235998,1.4615754511840138,0.8607855256687433,0,0,0.0,A,"A: open, no markers",4,False
uncertainty,1.5223600895596554,1.5150811274222709,0.9532257480770522,0,0,0.0,A,"A: open, no markers",0,False
uncertainty,1.1121750269086874,1.0912173679710688,0.7386363911164955,0,0,0.0,A,"A: open, no markers",1,False
uncertainty,1.3894689013215222,1.3894689013215222,0.8311869355584918,0,0,0.0,A,"A: open, no markers",2,False
uncertainty,1.6832670193652897,1.6832670193652897,1.012752256490996,0,0,0.0,A,"A: open, no markers",3,False
uncertainty,1.4673421351235998,1.4615754511840138,0.8607855256687433,0,0,0.0,A,"A: open, no markers",4,False
none,1.5223600895596554,1.5150811274222709,0.9532257480770522,0,0,0.0,B,B: markers along path,0,True
none,1.1121750269086874,1.0912173679710688,0.7386363911164955,0,0,0.0,B,B: markers along path,1,True
none,1.3894689013215222,1.3894689013215222,0.8311869355584918,0,0,0.0,B,B: markers along path,2,True
none,1.6832670193652897,1.6832670193652897,1.012752256490996,0,0,0.0,B,B: markers along path,3,True
none,1.4673421351235998,1.4615754511840138,0.8607855256687433,0,0,0.0,B,B: markers along path,4,True
fixed,0.29352981292122726,0.04921313760592106,0.125640089296398,10,10,1.0,B,B: markers along path,0,True
fixed,0.27458237002494806,0.038472290499303535,0.09097112716200319,10,10,1.0,B,B: markers along path,1,True
fixed,0.2487912866430099,0.055375785248453796,0.11584275809823658,10,10,1.0,B,B: markers along path,2,True
fixed,0.4405273910883406,0.025110301198447232,0.13461922855543618,10,10,1.0,B,B: markers along path,3,True
fixed,0.2760730153389774,0.045432794416588616,0.11315789945911434,10,10,1.0,B,B: markers along path,4,True
uncertainty,0.41329388737401007,0.09572991312784972,0.1753027668274098,4,4,1.0,B,B: markers along path,0,True
uncertainty,0.5742025544503219,0.12981305548962613,0.24530013875363965,4,3,0.75,B,B: markers along path,1,True
uncertainty,0.48614795392780413,0.08427872153006703,0.22568918804449503,4,4,1.0,B,B: markers along path,2,True
uncertainty,0.45244013059470506,0.11482252809687762,0.24192662167889517,4,4,1.0,B,B: markers along path,3,True
uncertainty,0.49067344672054297,0.32118139165040027,0.2348959015657997,4,4,1.0,B,B: markers along path,4,True
none,2.633540708805651,2.633540708805651,1.6627607448277888,0,0,0.0,C,C: obstacles + markers (detour),0,True
none,1.6382490551514788,1.6382490551514788,0.9612775119421223,0,0,0.0,C,C: obstacles + markers (detour),1,True
none,2.1440157000684374,2.1440157000684374,1.2772199440025664,0,0,0.0,C,C: obstacles + markers (detour),2,True
none,3.043425367477728,3.0349794831914525,1.8466410241824545,0,0,0.0,C,C: obstacles + markers (detour),3,True
none,2.9675903149034726,2.9675903149034726,1.7729308218662727,0,0,0.0,C,C: obstacles + markers (detour),4,True
fixed,0.3870327043608052,0.04952421963406616,0.12405113504483409,13,13,1.0,C,C: obstacles + markers (detour),0,True
fixed,0.6787366617925056,0.02653559966085421,0.14757184949895624,13,13,1.0,C,C: obstacles + markers (detour),1,True
fixed,0.8817401878106442,0.03963606654685889,0.22015783663522542,13,13,1.0,C,C: obstacles + markers (detour),2,True
fixed,0.9037594421315499,0.1556899904218353,0.1965310618732562,13,12,0.9230769230769231,C,C: obstacles + markers (detour),3,True
fixed,0.5735046339534948,0.03832526005876932,0.17915077765783352,13,13,1.0,C,C: obstacles + markers (detour),4,True
uncertainty,0.9770501260029905,0.22678263500975326,0.40147727815501194,8,7,0.875,C,C: obstacles + markers (detour),0,True
uncertainty,0.4223658695816634,0.1996268433686845,0.18991470259066098,8,7,0.875,C,C: obstacles + markers (detour),1,True
uncertainty,0.6177386558909552,0.2234394428288955,0.2183139526414437,9,8,0.8888888888888888,C,C: obstacles + markers (detour),2,True
uncertainty,0.6742778035369043,0.19699955534649896,0.23623065871957752,7,7,1.0,C,C: obstacles + markers (detour),3,True
uncertainty,0.6272110319584104,0.3433802867480911,0.2890156831628321,7,7,1.0,C,C: obstacles + markers (detour),4,True
