target 6.000 22.000
start 64.000 22.000
hard 35.000 22.000 10.000
building 5.598 4.228 4.908 4.783 15.456
building 6.353 35.679 4.586 4.434 27.961
building 21.547 3.972 5.062 4.561 26.771
building 22.262 36.591 4.797 4.793 20.807
building 38.451 3.595 4.455 5.044 24.383
building 38.479 36.580 4.997 4.783 16.035
building 53.514 3.513 4.420 4.757 14.253
building 53.853 36.252 4.840 4.437 23.374
pillar 5.598 4.228 2.454
pillar 6.353 35.679 2.293
pillar 21.547 3.972 2.531
pillar 22.262 36.591 2.398
pillar 38.451 3.595 2.522
pillar 38.479 36.580 2.498
pillar 53.514 3.513 2.379
pillar 53.853 36.252 2.420
pillar 12.813 27.344 1.269
pillar 32.017 22.296 0.591
pillar 21.847 25.471 1.434
pillar 46.293 28.638 1.376
pillar 57.918 21.438 0.666
pillar 44.693 19.197 1.221
pillar 14.005 16.962 1.491
pillar 26.703 16.337 0.525
pillar 29.995 29.868 0.685
amarker 0 5.000 20.000
amarker 1 5.000 24.000
amarker 2 5.000 28.000
amarker 3 5.000 32.000
amarker 4 5.000 40.000
amarker 5 9.000 20.000
amarker 6 9.000 24.000
amarker 7 9.000 28.000
amarker 8 9.000 32.000
amarker 9 9.000 40.000
amarker 10 13.000 20.000
amarker 11 13.000 24.000
amarker 12 13.000 40.000
amarker 13 17.000 16.000
amarker 14 17.000 20.000
amarker 15 17.000 24.000
amarker 16 17.000 28.000
amarker 17 17.000 40.000
amarker 18 21.000 16.000
amarker 19 21.000 20.000
amarker 20 21.000 32.000
amarker 21 25.000 8.000
amarker 22 25.000 20.000
amarker 23 25.000 24.000
amarker 24 25.000 28.000
amarker 25 25.000 32.000
amarker 26 29.000 8.000
amarker 27 29.000 16.000
amarker 28 29.000 20.000
amarker 29 29.000 24.000
amarker 30 29.000 32.000
amarker 31 33.000 8.000
amarker 32 33.000 16.000
amarker 33 33.000 20.000
amarker 34 33.000 28.000
amarker 35 33.000 32.000
amarker 36 37.000 8.000
amarker 37 37.000 20.000
amarker 38 37.000 24.000
amarker 39 37.000 28.000
amarker 40 37.000 32.000
amarker 41 41.000 8.000
amarker 42 41.000 20.000
amarker 43 41.000 24.000
amarker 44 41.000 28.000
amarker 45 41.000 32.000
amarker 46 45.000 24.000
amarker 47 45.000 32.000
amarker 48 49.000 20.000
amarker 49 49.000 24.000
amarker 50 49.000 32.000
amarker 51 53.000 8.000
amarker 52 53.000 20.000
amarker 53 53.000 24.000
amarker 54 53.000 28.000
amarker 55 53.000 32.000
amarker 56 57.000 8.000
amarker 57 57.000 24.000
amarker 58 57.000 28.000
amarker 59 57.000 32.000
amarker 60 57.000 40.000
amarker 61 61.000 16.000
amarker 62 61.000 20.000
amarker 63 61.000 24.000
amarker 64 61.000 28.000
amarker 65 65.000 16.000
amarker 66 65.000 20.000
amarker 67 65.000 24.000
amarker 68 65.000 28.000
amarker 69 69.000 4.000
amarker 70 69.000 8.000
amarker 71 69.000 12.000
amarker 72 69.000 16.000
amarker 73 69.000 20.000
amarker 74 69.000 24.000
amarker 75 69.000 28.000
amarker 76 69.000 32.000
amarker 77 69.000 36.000
amarker 78 69.000 40.000
amarker 79 69.000 44.000
