target -92.000 0.000
start 92.000 0.000
hard 0.000 0.000 16.000
pillar 6.024 28.199 15.808
pillar 26.623 94.915 24.070
pillar 47.522 -42.885 13.908
pillar -28.409 -91.967 21.813
pillar 10.128 -101.008 17.136
pillar 37.151 -88.796 18.091
pillar -87.409 -66.730 3.341
pillar -100.789 -44.479 3.831
pillar -49.476 -65.979 26.221
pillar 85.302 -28.040 6.111
pillar 75.431 -4.291 2.491
pillar 72.165 -4.204 2.972
pillar 74.306 7.134 5.047
pillar 78.963 -5.111 2.803
pillar 100.469 28.027 4.122
pillar 39.230 11.336 5.090
pillar 66.215 88.701 10.577
pillar 81.807 100.020 24.633
pillar 85.267 72.310 6.510
pillar 74.790 74.309 5.664
pillar 86.378 55.616 9.900
pillar 95.253 51.684 8.972
pillar 76.636 36.729 10.363
pillar 71.990 58.777 5.390
pillar 53.391 64.501 4.304
pillar 63.122 79.461 6.007
pillar 53.962 75.833 7.228
pillar 81.590 62.230 4.738
pillar 82.611 66.473 4.672
pillar 100.265 -58.619 12.418
pillar 85.979 -59.525 7.787
pillar 57.273 -89.859 3.206
pillar 80.413 -96.359 10.245
pillar 101.193 -93.081 2.111
pillar 98.808 22.285 4.086
pillar 58.136 -49.030 13.370
pillar 66.033 -49.459 11.777
pillar -96.240 -71.651 3.323
pillar -98.181 -73.653 4.372
pillar -99.113 -76.312 4.460
pillar -93.934 -68.141 2.842
pillar -96.030 -63.608 4.018
pillar -95.635 -60.757 4.026
pillar -66.967 -75.599 7.296
pillar -88.452 -83.596 5.384
pillar -87.286 -77.094 5.172
pillar -73.063 -88.151 13.155
pillar -82.481 -54.835 4.008
pillar -78.980 -48.748 2.688
pillar -85.723 -59.982 3.663
pillar -89.378 -89.869 5.316
pillar -90.764 -95.536 5.092
pillar -70.829 -50.280 6.733
pillar -55.078 83.641 16.307
pillar 20.326 -88.041 16.286
pillar -71.508 54.062 4.465
pillar -73.231 72.261 4.047
amarker 0 -96.000 0.000
amarker 1 -92.000 0.000
amarker 2 -88.000 0.000
amarker 3 -84.000 0.000
amarker 4 -80.000 0.000
amarker 5 -76.000 0.000
amarker 6 -72.000 0.000
amarker 7 -68.000 0.000
amarker 8 -64.000 0.000
amarker 9 -60.000 0.000
amarker 10 -56.000 0.000
amarker 11 -52.000 0.000
amarker 12 -48.000 0.000
amarker 13 -44.000 0.000
amarker 14 -40.000 0.000
amarker 15 -36.000 0.000
amarker 16 -32.000 0.000
amarker 17 -28.000 0.000
amarker 18 -24.000 0.000
amarker 19 -20.000 0.000
amarker 20 -16.000 0.000
amarker 21 -12.000 0.000
amarker 22 -8.000 0.000
amarker 23 -4.000 0.000
amarker 24 0.000 0.000
amarker 25 4.000 0.000
amarker 26 8.000 0.000
amarker 27 12.000 0.000
amarker 28 16.000 0.000
amarker 29 20.000 0.000
amarker 30 24.000 0.000
amarker 31 28.000 0.000
amarker 32 32.000 0.000
amarker 33 36.000 0.000
amarker 34 40.000 0.000
amarker 35 44.000 0.000
amarker 36 48.000 0.000
amarker 37 52.000 0.000
amarker 38 56.000 0.000
amarker 39 60.000 0.000
amarker 40 64.000 0.000
amarker 41 68.000 0.000
amarker 42 76.000 0.000
amarker 43 80.000 0.000
amarker 44 84.000 0.000
amarker 45 88.000 0.000
amarker 46 92.000 0.000
amarker 47 96.000 0.000
amarker 48 -60.000 -84.000
amarker 49 60.000 -84.000
amarker 50 84.000 -84.000
amarker 51 -60.000 -60.000
amarker 52 -12.000 -60.000
amarker 53 12.000 -60.000
amarker 54 36.000 -60.000
amarker 55 -84.000 -36.000
amarker 56 -60.000 -36.000
amarker 57 -36.000 -36.000
amarker 58 -12.000 -36.000
amarker 59 12.000 -36.000
amarker 60 36.000 -36.000
amarker 61 84.000 -36.000
amarker 62 -84.000 -12.000
amarker 63 -60.000 -12.000
amarker 64 -36.000 -12.000
amarker 65 -12.000 -12.000
amarker 66 12.000 -12.000
amarker 67 36.000 -12.000
amarker 68 60.000 -12.000
amarker 69 84.000 -12.000
amarker 70 -84.000 12.000
amarker 71 -60.000 12.000
amarker 72 -36.000 12.000
amarker 73 -12.000 12.000
amarker 74 12.000 12.000
amarker 75 60.000 12.000
amarker 76 84.000 12.000
amarker 77 -84.000 36.000
amarker 78 -60.000 36.000
amarker 79 -36.000 36.000
amarker 80 -12.000 36.000
amarker 81 36.000 36.000
amarker 82 60.000 36.000
amarker 83 -84.000 60.000
amarker 84 -60.000 60.000
amarker 85 -36.000 60.000
amarker 86 -12.000 60.000
amarker 87 12.000 60.000
amarker 88 36.000 60.000
amarker 89 60.000 60.000
amarker 90 -84.000 84.000
amarker 91 -36.000 84.000
amarker 92 -12.000 84.000
amarker 93 36.000 84.000
amarker 94 84.000 84.000
