target 2.000 15.000
start 46.000 15.000
hard 24.000 15.000 8.000
pillar 7.829 6.215 1.670
pillar 8.315 20.865 1.505
pillar 15.468 7.055 1.338
pillar 14.292 12.526 1.624
pillar 15.696 20.351 1.693
pillar 23.673 6.554 1.546
pillar 20.767 12.254 1.511
pillar 20.414 20.885 1.397
pillar 27.308 5.870 1.476
pillar 30.233 14.069 1.556
pillar 28.999 22.585 1.483
pillar 35.201 7.792 1.698
pillar 37.225 14.748 1.426
pillar 35.027 21.241 1.328
amarker 0 0.000 4.000
amarker 1 0.000 8.000
amarker 2 0.000 12.000
amarker 3 0.000 16.000
amarker 4 0.000 20.000
amarker 5 0.000 24.000
amarker 6 4.000 4.000
amarker 7 4.000 8.000
amarker 8 4.000 12.000
amarker 9 4.000 16.000
amarker 10 4.000 20.000
amarker 11 4.000 24.000
amarker 12 8.000 12.000
amarker 13 8.000 16.000
amarker 14 12.000 4.000
amarker 15 12.000 8.000
amarker 16 12.000 16.000
amarker 17 12.000 20.000
amarker 18 12.000 24.000
amarker 19 16.000 16.000
amarker 20 20.000 4.000
amarker 21 20.000 8.000
amarker 22 20.000 16.000
amarker 23 24.000 16.000
amarker 24 24.000 20.000
amarker 25 24.000 24.000
amarker 26 32.000 4.000
amarker 27 36.000 4.000
amarker 28 40.000 4.000
amarker 29 40.000 8.000
amarker 30 40.000 12.000
amarker 31 40.000 20.000
amarker 32 40.000 24.000
amarker 33 44.000 4.000
amarker 34 44.000 8.000
amarker 35 44.000 12.000
amarker 36 44.000 16.000
amarker 37 44.000 20.000
amarker 38 44.000 24.000
