target 2.000 10.000
start 28.000 10.000
hard 15.000 10.000 5.000
pillar 21.000 12.500 1.400
pillar 15.000 7.000 1.600
pillar 9.000 12.000 1.400
amarker 0 0.000 3.000
amarker 1 0.000 7.000
amarker 2 0.000 11.000
amarker 3 0.000 15.000
amarker 4 4.000 3.000
amarker 5 4.000 7.000
amarker 6 4.000 11.000
amarker 7 4.000 15.000
amarker 8 8.000 3.000
amarker 9 8.000 7.000
amarker 10 12.000 3.000
amarker 11 12.000 15.000
amarker 12 16.000 3.000
amarker 13 16.000 11.000
amarker 14 16.000 15.000
amarker 15 20.000 3.000
amarker 16 20.000 7.000
amarker 17 24.000 3.000
amarker 18 24.000 7.000
amarker 19 24.000 15.000
amarker 20 28.000 3.000
amarker 21 28.000 7.000
amarker 22 28.000 11.000
amarker 23 28.000 15.000
